Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,11/10/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/10/2022 0:00,2022,,
Work Health Solutions,CA,Healthcare Provider,13157,11/9/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/9/2022 0:00,2022,,
Doctors' Center Hospital,MA,Healthcare Provider,1195220,11/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/9/2022 0:00,2022,,
GATE Petroleum Company Employee Benefits Plan,FL,Health Plan,4912,11/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/9/2022 0:00,2022,,
Heartland Alliance,IL,Business Associate,46694,11/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/8/2022 0:00,2022,,
"Eastside Pediatrics, PLLC",NY,Healthcare Provider,1723,11/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/8/2022 0:00,2022,,
Resource Anesthesiology Associates of PA PC,NY,Healthcare Provider,1372,11/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/7/2022 0:00,2022,,
Resource Anesthesiology Associates of CA PC,CA,Healthcare Provider,1308,11/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/7/2022 0:00,2022,,
"The Stern Cardiovascular Foundation, Inc.",TN,Healthcare Provider,501,11/5/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/5/2022 0:00,2022,,
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,11/4/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/4/2022 0:00,2022,,
OCEANVIEWS OPTICAL INC,FL,Healthcare Provider,2000,11/3/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/3/2022 0:00,2022,,
"Pinnacle Claims Management, Inc.",CA,Business Associate,2048,11/3/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/3/2022 0:00,2022,,
TIC International Corporation (“TIC”),IN,Business Associate,1362,11/1/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/1/2022 0:00,2022,,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,4380,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,438713,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,10/31/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/31/2022 0:00,2022,,
"Heart of Florida Health Center, Inc.",FL,Healthcare Provider,721,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,10/31/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/31/2022 0:00,2022,,
"PrimeCare Medical, Inc.",PA,Healthcare Provider,22254,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
"Mediko, Inc.",VA,Healthcare Provider,2809,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
The Psychology Center,WI,Healthcare Provider,3614,10/31/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,10/31/2022 0:00,2022,,
Mohave County Adult Detention Facility,AZ,Healthcare Provider,558,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
Navajo County Sheriff's Office,AZ,Healthcare Provider,797,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
Louisiana Department of Public Safety and Corrections,LA,Healthcare Provider,85466,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/31/2022 0:00,2022,,
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",NY,Health Plan,21544,10/31/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/31/2022 0:00,2022,,
St Luke's Health - Texas,TX,Healthcare Provider,16906,10/30/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,10/30/2022 0:00,2022,,
"Restorative Arts Physical Therapy, Inc. d/b/a Core Conditioning",CA,Healthcare Provider,727,10/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/28/2022 0:00,2022,,
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,2915,10/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/28/2022 0:00,2022,,
OakBend Medical Center / OakBend Medical Group,TX,Healthcare Provider,500000,10/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/28/2022 0:00,2022,,
"Assurance Health System, LLC",IN,Healthcare Provider,3565,10/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/28/2022 0:00,2022,,
"SightCare, Inc.",AZ,Health Plan,637999,10/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/28/2022 0:00,2022,,
"Nationwide Optometry, PC",AZ,Healthcare Provider,73073,10/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/28/2022 0:00,2022,,
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,10/27/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,10/27/2022 0:00,2022,,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,3900,10/27/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,10/27/2022 0:00,2022,,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,33857,10/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/25/2022 0:00,2022,,
Coastal Horizons Center Inc.,NC,Healthcare Provider,679,10/25/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,10/25/2022 0:00,2022,,
"Forest Hill Pediatrics, LLC",MD,Healthcare Provider,4958,10/25/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/25/2022 0:00,2022,,
Resource Anesthesiology Associates of NM Inc,NY,Healthcare Provider,7054,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
Resource Anesthesiology Associates of CT PC,NY,Healthcare Provider,5240,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
Resource Anesthesiology Associates of VA LLC,NY,Healthcare Provider,4209,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
"Somnia, Inc.",NY,Healthcare Provider,1326,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
Resource Anesthesiology Associates of IN LLC,NY,Healthcare Provider,2136,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
Regions Hospital,MN,Healthcare Provider,978,10/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/24/2022 0:00,2022,,
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,480435,10/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/21/2022 0:00,2022,,
Massengale Eye Care,OK,Healthcare Provider,15000,10/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/21/2022 0:00,2022,,
"Phoenix Programs of Florida, Inc.",FL,Healthcare Provider,6594,10/21/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/21/2022 0:00,2022,,
"Dr. Scott B. Klimaj, DMD",RI,Healthcare Provider,1558,10/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/21/2022 0:00,2022,,
"Wenco Management, LLC Health and Welfare Benefit Plan",OH,Health Plan,20526,10/20/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/20/2022 0:00,2022,,
"Pynenberg & Scheske DDS,SC",WI,Healthcare Provider,2612,10/20/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/20/2022 0:00,2022,,
"Sigmund Software, LLC",CT,Business Associate,983,10/20/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/20/2022 0:00,2022,,
Fontainebleau Development Health and Welfare Plan,FL,Health Plan,1825,10/20/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/20/2022 0:00,2022,,
Lifeline Systems Company,MA,Healthcare Provider,500,10/16/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/16/2022 0:00,2022,,
"Friend Family Health Center, Inc.",IL,Healthcare Provider,1419,10/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/14/2022 0:00,2022,,
Tift Regional Health System,GA,Healthcare Provider,500,10/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/14/2022 0:00,2022,,
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,10/14/2022,Theft,Laptop,No,12:00:00 AM,10/14/2022 0:00,2022,,
Blue Cross and Blue Shield of Kansas,KS,Health Plan,1308,10/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/14/2022 0:00,2022,,
Presbyterian Healthcare Services,NM,Healthcare Provider,44450,10/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/14/2022 0:00,2022,,
WakeMed Health and Hospitals,NC,Healthcare Provider,495808,10/14/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,10/14/2022 0:00,2022,,
Springfield Clinic,IL,Healthcare Provider,802,10/14/2022,Loss,Other Portable Electronic Device,No,12:00:00 AM,10/14/2022 0:00,2022,,
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",TX,Healthcare Provider,15056,10/14/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,10/14/2022 0:00,2022,,
Ascension St. Vincent’s Coastal Cardiology,GA,Healthcare Provider,71227,10/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/14/2022 0:00,2022,,
The Valley Hospital,NJ,Healthcare Provider,4245,10/14/2022,Improper Disposal,Paper/Films,No,12:00:00 AM,10/14/2022 0:00,2022,,
Keystone Health,PA,Healthcare Provider,235237,10/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/14/2022 0:00,2022,,
"Premier Physical Therapy and Sports Performance, Limited Partnership",DE,Healthcare Provider,982,10/12/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/12/2022 0:00,2022,,
Sage Counseling Omaha,NE,Healthcare Provider,1359,10/12/2022,Theft,Electronic Medical Record,No,12:00:00 AM,10/12/2022 0:00,2022,,
Defense Health Headquarters,VA,Health Plan,1279,10/12/2022,Hacking/IT Incident,Other,No,12:00:00 AM,10/12/2022 0:00,2022,,
Choice Health Insurance LLC,SC,Business Associate,32064,10/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/11/2022 0:00,2022,,
"Aesthetic Dermatology Associates, PC",PA,Healthcare Provider,33793,10/10/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/10/2022 0:00,2022,,
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,10/10/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,12:00:00 AM,10/10/2022 0:00,2022,,
"Seredor Centers, Inc.",FL,Healthcare Provider,2500,10/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/8/2022 0:00,2022,,
"Thomas J. Hubbard, MD, Inc. DBA Hubbard Plastic Surgery & Skin Enhancement Center",VA,Healthcare Provider,914,10/7/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,10/7/2022 0:00,2022,,
"Lifespire Services, Inc.",NY,Healthcare Provider,15375,10/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/7/2022 0:00,2022,,
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",TX,Healthcare Provider,1500,10/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/7/2022 0:00,2022,,
"Urology of Greater Atlanta, LLC",GA,Healthcare Provider,79795,10/7/2022,Hacking/IT Incident,"Network Server, Other",No,12:00:00 AM,10/7/2022 0:00,2022,,
Wisconsin Department of Health Services,WI,Health Plan,12358,10/7/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,10/7/2022 0:00,2022,,
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,951,10/6/2022,Hacking/IT Incident,Email,No,12:00:00 AM,10/6/2022 0:00,2022,,
CareOregon,OR,Health Plan,8022,10/5/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,10/5/2022 0:00,2022,,
Salud Family Health,CO,Healthcare Provider,501,10/5/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/5/2022 0:00,2022,,
"Valle del Sol, Inc.",AZ,Healthcare Provider,70268,10/5/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/5/2022 0:00,2022,,
Family Medicine Shady Grove LLC,MD,Healthcare Provider,6482,10/3/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/3/2022 0:00,2022,,
"VisionWeb Holdings, LLC",TX,Business Associate,35900,10/3/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,10/3/2022 0:00,2022,,
Delta Dental of Washington,WA,Health Plan,6361,9/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/30/2022 0:00,2022,,
"Monroe Ear Nose and Throat Associates, PC",MI,Healthcare Provider,14500,9/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,9/30/2022 0:00,2022,,
Riverside Medical Group,NJ,Healthcare Provider,12499,9/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,9/30/2022 0:00,2022,,
Anthem ACE,IN,Health Plan,13406,9/30/2022,Hacking/IT Incident,Other,Yes,12:00:00 AM,9/30/2022 0:00,2022,,
Trillium Health Inc.,NY,Healthcare Provider,3191,9/30/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/30/2022 0:00,2022,,
Zomo Health,TX,Business Associate,1359,9/30/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,9/30/2022 0:00,2022,,
"Anthem Health Plans of Kentucky, Incorporated",IN,Business Associate,537,9/29/2022,Theft,Other Portable Electronic Device,Yes,12:00:00 AM,9/29/2022 0:00,2022,,
"Smith, Gambrell & Russell, LLP",GA,Business Associate,4688,9/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/28/2022 0:00,2022,,
"Reid and Riege, P.C.",CT,Business Associate,610,9/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/28/2022 0:00,2022,,
Molina Healthcare,CA,Health Plan,1068,9/26/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,9/26/2022 0:00,2022,,
Extended MLTC,NY,Health Plan,5494,9/26/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/26/2022 0:00,2022,,
"Kaye-Smith Enterprises, Inc.",WA,Business Associate,2857,9/26/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/26/2022 0:00,2022,,
Montefiore Medical Center,NY,Healthcare Provider,1332,9/23/2022,Theft,Other Portable Electronic Device,No,12:00:00 AM,9/23/2022 0:00,2022,,
Resource Anesthesiology Associates of MO LLC,MO,Healthcare Provider,11672,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Resource Anesthesiology Associates of MI PC,MI,Healthcare Provider,24845,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Resource Anesthesiology Associates of IL PC,NY,Healthcare Provider,18321,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
"FMC Services, LLC",TX,Healthcare Provider,233948,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Resource Anesthesiology Associates of CA A Medical Corporation,CA,Healthcare Provider,16815,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Hazleton Anesthesia Services PC,NY,Healthcare Provider,13607,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Grayling Anesthesia Associates PC,MI,Healthcare Provider,15378,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Fredericksburg Anesthesia Services LLC,NY,Healthcare Provider,7069,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Anesthesia Associates of Maryland LLC,MD,Healthcare Provider,12405,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Anesthesia Associates of El Paso PA,NY,Healthcare Provider,43168,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group",NE,Healthcare Provider,2020,9/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/23/2022 0:00,2022,,
WellMed Medical Management,TX,Healthcare Provider,10506,9/23/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,12:00:00 AM,9/23/2022 0:00,2022,,
"Physician’s Business Office, Inc.",WV,Business Associate,196673,9/23/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/23/2022 0:00,2022,,
Magellan Rx Management,MD,Business Associate,13663,9/23/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/23/2022 0:00,2022,,
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",TN,Healthcare Provider,58562,9/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/23/2022 0:00,2022,,
Bloomington Meadows Hospital,IN,Healthcare Provider,788,9/23/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,9/23/2022 0:00,2022,,
Northern California Fertility Medical Center,CA,Healthcare Provider,12145,9/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/21/2022 0:00,2022,,
Seattle Children's Hospital,WA,Healthcare Provider,6750,9/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/21/2022 0:00,2022,,
UW Medicine,WA,Healthcare Provider,3804,9/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/21/2022 0:00,2022,,
"Bonita Springs Retirement Village, Inc.",FL,Healthcare Provider,554,9/19/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/19/2022 0:00,2022,,
"Easterseals-Goodwill Northern Rocky Mountain, Inc.",MT,Healthcare Provider,3886,9/16/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/16/2022 0:00,2022,,
Tessie Cleveland Community Services Corp,CA,Healthcare Provider,9747,9/16/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/16/2022 0:00,2022,,
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,23058,9/16/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,9/16/2022 0:00,2022,,
The Cooper Health System,NJ,Healthcare Provider,500,9/16/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/16/2022 0:00,2022,,
Country Doctor Community Clinic,WA,Healthcare Provider,38751,9/16/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/16/2022 0:00,2022,,
Landmark Management Services,FL,Healthcare Provider,501,9/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/15/2022 0:00,2022,,
Neurology Center of Nevada,NV,Healthcare Provider,11700,9/15/2022,Hacking/IT Incident,Electronic Medical Record,No,12:00:00 AM,9/15/2022 0:00,2022,,
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,3675,9/12/2022,Hacking/IT Incident,Email,No,12:00:00 AM,9/12/2022 0:00,2022,,
Molina Healthcare,CA,Health Plan,8283,9/9/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,9/9/2022 0:00,2022,,
"SERV Behavioral Health Systems, Inc.",NJ,Healthcare Provider,8110,9/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/9/2022 0:00,2022,,
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS,TN,Health Plan,983,9/9/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/9/2022 0:00,2022,,
The Sargent’s Group,PA,Business Associate,1650,9/9/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/9/2022 0:00,2022,,
Lubbock Heart & Surgical Hospital,TX,Healthcare Provider,23379,9/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/9/2022 0:00,2022,,
TennCare,TN,Health Plan,1694,9/9/2022,Unauthorized Access/Disclosure,"Network Server, Paper/Films",No,12:00:00 AM,9/9/2022 0:00,2022,,
Medical Associates of the Lehigh Valley,PA,Healthcare Provider,75628,9/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/9/2022 0:00,2022,,
UCLA Health,CA,Healthcare Provider,2190,9/8/2022,Loss,Other Portable Electronic Device,No,12:00:00 AM,9/8/2022 0:00,2022,,
DaVita Inc.,CO,Healthcare Provider,1092,9/6/2022,Hacking/IT Incident,Laptop,No,12:00:00 AM,9/6/2022 0:00,2022,,
Reiter Affiliated Health and Welfare Plan,CA,Health Plan,45000,9/2/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/2/2022 0:00,2022,,
"Reiter Affiliated Companies, LLC",CA,Business Associate,48000,9/2/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/2/2022 0:00,2022,,
"Independent Living Systems, LLC",FL,Business Associate,501,9/2/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,9/2/2022 0:00,2022,,
"Genesis Health Care, Inc.",SC,Healthcare Provider,21226,9/2/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/2/2022 0:00,2022,,
Narragansett Bay Commission,RI,Healthcare Provider,2153,9/1/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/1/2022 0:00,2022,,
Walgreen Co.,IL,Healthcare Provider,1704,8/31/2022,Theft,Paper/Films,No,12:00:00 AM,8/31/2022 0:00,2022,,
Trinity Health,MI,Business Associate,5738,8/29/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,8/29/2022 0:00,2022,,
"The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services",NJ,Healthcare Provider,850,8/29/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/29/2022 0:00,2022,,
NYSARC Columbia County Chapter d/b/a COARC,NY,Healthcare Provider,501,8/29/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/29/2022 0:00,2022,,
Methodist McKinney Hospital,TX,Healthcare Provider,110244,8/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/26/2022 0:00,2022,,
Methodist Craig Ranch Surgical Center,TX,Healthcare Provider,15157,8/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/26/2022 0:00,2022,,
NorthStar HealthCare Consulting LLC,GA,Business Associate,18354,8/26/2022,Unauthorized Access/Disclosure,Email,Yes,12:00:00 AM,8/26/2022 0:00,2022,,
First Street Family Health,CO,Healthcare Provider,7310,8/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/26/2022 0:00,2022,,
"One Medical, Inc.",TX,Healthcare Provider,1009,8/25/2022,Theft,Paper/Films,No,12:00:00 AM,8/25/2022 0:00,2022,,
USAble Mutual Insurance Company d/b/a Arkansas Blue Cross and Blue Shield,AR,Health Plan,8871,8/25/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/25/2022 0:00,2022,,
Health Advantage,AR,Health Plan,1642,8/25/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/25/2022 0:00,2022,,
EmergeOrtho,NC,Healthcare Provider,68661,8/25/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/25/2022 0:00,2022,,
General Health System,LA,Healthcare Provider,46149,8/25/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/25/2022 0:00,2022,,
Farmville Internal Medicine,NC,Healthcare Provider,3000,8/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,12:00:00 AM,8/25/2022 0:00,2022,,
Community Bridges,NH,Healthcare Provider,10461,8/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/24/2022 0:00,2022,,
"Warner Norcross and Judd, LLP",MI,Business Associate,255160,8/24/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/24/2022 0:00,2022,,
"Henderson & Walton Women’s Center, P.C.",AL,Healthcare Provider,34306,8/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/23/2022 0:00,2022,,
Prowers County Hospital District,CO,Healthcare Provider,1205,8/22/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/22/2022 0:00,2022,,
California Department of Corrections and Rehabilitation,CA,Healthcare Provider,236000,8/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/22/2022 0:00,2022,,
"Cerebral Medical Group, P.A.",CA,Healthcare Provider,6110,8/19/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,8/19/2022 0:00,2022,,
Celanese Medical PLan,TX,Health Plan,704,8/19/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,8/19/2022 0:00,2022,,
San Diego American Indian Health Center,CA,Healthcare Provider,27367,8/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/15/2022 0:00,2022,,
"Choice Health Insurance, LLC",SC,Business Associate,23082,8/15/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/15/2022 0:00,2022,,
AdventHealth Medical Group OB GYN at Woodridge,IL,Healthcare Provider,2001,8/15/2022,Loss,Other Portable Electronic Device,No,12:00:00 AM,8/15/2022 0:00,2022,,
Novant Health Inc. on behalf of Novant Health ACE & as contractor for NMG Services Inc.,NC,Business Associate,1362296,8/14/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,12:00:00 AM,8/14/2022 0:00,2022,,
Priti Patel Physician PC,NY,Healthcare Provider,6877,8/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/14/2022 0:00,2022,,
Overlake Medical Center & Clinics,WA,Healthcare Provider,557,8/12/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/12/2022 0:00,2022,,
Common Ground Healthcare Cooperative,WI,Health Plan,133714,8/12/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/12/2022 0:00,2022,,
Valley Baptist Medical Center – Harlingen,TX,Healthcare Provider,11137,8/12/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/12/2022 0:00,2022,,
Valley Baptist Medical Center - Brownsville,TX,Healthcare Provider,7496,8/12/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/12/2022 0:00,2022,,
Onyx Technology LLC,MD,Business Associate,96814,8/12/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/12/2022 0:00,2022,,
"Conifer Revenue Cycle Solutions, LLC",TX,Business Associate,134948,8/12/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,8/12/2022 0:00,2022,,
